Description,TL_X,TL_Y,BR_X,BR_Y
Bounds,0.0,0.0,17.0,-11.0,82:44
Rect,7.75259722222,-5.341375,7.83593055556,-5.42470833333,41:21
Rect,7.75259722222,-4.091375,7.83593055556,-4.17470833333,26:21
Rect,7.75259722222,-5.591375,7.83593055556,-5.67470833333,44:21
Rect,7.75259722222,-3.591375,7.83593055556,-3.67470833333,20:21
Rect,7.75259722222,-1.92470833333,7.83593055556,-2.00804166667,0:21
Rect,7.00259722222,-4.091375,7.08593055556,-4.17470833333,26:12
Rect,7.00259722222,-4.841375,7.08593055556,-4.92470833333,35:12
Rect,7.00259722222,-5.341375,7.08593055556,-5.42470833333,41:12
Rect,7.75259722222,-3.341375,7.83593055556,-3.42470833333,17:21
Rect,7.75259722222,-2.67470833333,7.83593055556,-2.75804166667,9:21
Rect,7.75259722222,-6.17472222222,7.83593055556,-6.25805555556,51:21
Rect,7.75259722222,-3.841375,7.83593055556,-3.92470833333,23:21
Rect,7.75259722222,-3.091375,7.83593055556,-3.17470833333,14:21
Rect,7.75259722222,-6.42472222222,7.83593055556,-6.50805555556,54:21
Rect,7.75259722222,-2.341375,7.83593055556,-2.42470833333,5:21
Rect,7.75259722222,-2.42470833333,7.83593055556,-2.50804166667,6:21
Rect,7.75259722222,-4.341375,7.83593055556,-4.42470833333,29:21
Rect,7.75259722222,-2.17470833333,7.83593055556,-2.25804166667,3:21
Rect,7.75259722222,-5.92472222222,7.83593055556,-6.00805555556,48:21
Rect,7.75259722222,-2.091375,7.83593055556,-2.17470833333,2:21
Rect,7.75259722222,-2.591375,7.83593055556,-2.67470833333,8:21
Rect,7.75259722222,-2.841375,7.83593055556,-2.92470833333,11:21
Rect,7.75259722222,-6.25805555556,7.83593055556,-6.34138888889,52:21
Rect,7.00259722222,-3.591375,7.08593055556,-3.67470833333,20:12
Rect,7.00259722222,-1.92470833333,7.08593055556,-2.00804166667,0:12
Rect,7.00259722222,-2.841375,7.08593055556,-2.92470833333,11:12
Rect,7.00259722222,-3.841375,7.08593055556,-3.92470833333,23:12
Rect,7.00259722222,-3.091375,7.08593055556,-3.17470833333,14:12
Rect,7.00259722222,-2.17470833333,7.08593055556,-2.25804166667,3:12
Rect,7.00259722222,-3.341375,7.08593055556,-3.42470833333,17:12
Rect,7.00259722222,-5.091375,7.08593055556,-5.17470833333,38:12
Rect,7.00259722222,-2.091375,7.08593055556,-2.17470833333,2:12
Rect,7.00259722222,-2.42470833333,7.08593055556,-2.50804166667,6:12
Rect,7.00259722222,-2.591375,7.08593055556,-2.67470833333,8:12
