Description,TL_X,TL_Y,BR_X,BR_Y
Bounds,0.0,0.0,17.7777777778,-11.1111111111
Rect,10.0497222222,-6.06527777778,10.1330555556,-6.39861111111
Rect,6.80975,-3.06647222222,6.89308333333,-3.39980555556
Rect,7.39231944444,-3.48194444444,7.47565277778,-3.81527777778
Rect,10.0497222222,-3.48194444444,10.1330555556,-3.81527777778
Rect,8.80280555556,-3.06647222222,8.88613888889,-3.39980555556
Rect,7.97333333333,-4.89856944444,8.05666666667,-5.23190277778
Rect,9.21870833333,-4.14930555556,9.30204166667,-4.48263888889
Rect,9.21870833333,-4.89930555556,9.30204166667,-5.23263888889
Rect,9.79972222222,-4.31819444444,9.88305555556,-4.65152777778
Rect,7.97333333333,-2.64856944444,8.05666666667,-2.98190277778
Rect,6.56129166667,-1.89930555556,6.644625,-2.23263888889
Rect,6.56129166667,-4.14930555556,6.644625,-4.48263888889
Rect,9.21870833333,-1.89930555556,9.30204166667,-2.23263888889
Rect,9.21870833333,-2.64930555556,9.30204166667,-2.98263888889
Rect,7.14231944444,-4.31819444444,7.22565277778,-4.65152777778
Rect,6.80975,-4.23313888889,6.89308333333,-4.56647222222
Rect,7.14231944444,-2.06819444444,7.22565277778,-2.40152777778
Rect,9.79972222222,-2.06819444444,9.88305555556,-2.40152777778
Rect,7.05975,-2.48604166667,7.14308333333,-2.819375
Rect,9.63381944444,-2.48608333333,9.71715277778,-2.81941666667
Rect,7.39231944444,-3.81527777778,7.47565277778,-4.14861111111
Rect,7.64076388889,-2.48608333333,7.72409722222,-2.81941666667
Rect,7.39231944444,-2.73194444444,7.47565277778,-3.06527777778
Rect,6.80975,-1.98313888889,6.89308333333,-2.31647222222
Rect,6.80975,-2.73313888889,6.89308333333,-3.06647222222
Rect,6.56129166667,-2.64930555556,6.644625,-2.98263888889
Rect,8.55434722222,-2.64930555556,8.63768055556,-2.98263888889
Rect,8.55434722222,-1.89930555556,8.63768055556,-2.23263888889
Rect,8.80280555556,-4.98313888889,8.88613888889,-5.31647222222
Rect,10.0497222222,-2.73194444444,10.1330555556,-3.06527777778
Rect,8.80280555556,-4.23313888889,8.88613888889,-4.56647222222
Rect,8.55434722222,-4.89930555556,8.63768055556,-5.23263888889
Rect,8.55434722222,-4.14930555556,8.63768055556,-4.48263888889
Rect,8.80280555556,-5.31647222222,8.88613888889,-5.64980555556
Rect,8.80280555556,-1.98313888889,8.88613888889,-2.31647222222
Rect,8.80280555556,-2.73313888889,8.88613888889,-3.06647222222
Rect,9.05280555556,-4.73604166667,9.13613888889,-5.069375
Rect,8.30511111111,-2.48608333333,8.38844444444,-2.81941666667
Rect,10.0497222222,-3.73194444444,10.1330555556,-4.06527777778
Rect,9.79972222222,-5.81819444444,9.88305555556,-6.15152777778
Rect,9.63381944444,-6.23608333333,9.71715277778,-6.56941666667
Rect,9.13777777778,-7.72847222222,9.22111111111,-8.06180555556
Rect,8.55434722222,-6.39930555556,8.63768055556,-6.73263888889
Rect,9.79972222222,-6.56819444444,9.88305555556,-6.90152777778
Rect,7.14231944444,-3.23486111111,7.22565277778,-3.56819444444
Rect,7.14231944444,-3.56819444444,7.22565277778,-3.90152777778
Rect,9.63381944444,-4.73608333333,9.71715277778,-5.06941666667
Rect,8.55434722222,-2.98263888889,8.63768055556,-3.31597222222
Rect,7.05975,-3.569375,7.14308333333,-3.90270833333
Rect,9.79972222222,-5.48486111111,9.88305555556,-5.81819444444
Rect,9.79972222222,-3.56819444444,9.88305555556,-3.90152777778
Rect,7.97333333333,-2.31523611111,8.05666666667,-2.64856944444
Rect,9.05280555556,-3.569375,9.13613888889,-3.90270833333
Rect,7.05975,-2.819375,7.14308333333,-3.15270833333
Rect,7.05975,-5.069375,7.14308333333,-5.40270833333
Rect,9.79972222222,-3.23486111111,9.88305555556,-3.56819444444
Rect,8.30511111111,-1.73608333333,8.38844444444,-2.06941666667
Rect,7.64076388889,-3.98608333333,7.72409722222,-4.31941666667
Rect,7.39231944444,-4.98194444444,7.47565277778,-5.31527777778
Rect,7.64076388889,-1.73608333333,7.72409722222,-2.06941666667
Rect,8.30511111111,-3.98608333333,8.38844444444,-4.31941666667
Rect,9.21870833333,-2.98263888889,9.30204166667,-3.31597222222
Rect,7.64076388889,-4.73608333333,7.72409722222,-5.06941666667
Rect,8.30511111111,-4.73608333333,8.38844444444,-5.06941666667
Rect,7.97333333333,-4.56523611111,8.05666666667,-4.89856944444
Rect,9.63381944444,-1.73608333333,9.71715277778,-2.06941666667
Rect,9.63381944444,-3.98608333333,9.71715277778,-4.31941666667
Rect,7.97333333333,-3.81523611111,8.05666666667,-4.14856944444
Rect,9.05280555556,-5.069375,9.13613888889,-5.40270833333
Rect,8.55434722222,-5.23263888889,8.63768055556,-5.56597222222
Rect,9.05280555556,-5.819375,9.13613888889,-6.15270833333
Rect,9.21870833333,-5.23263888889,9.30204166667,-5.56597222222
Rect,6.56129166667,-2.98263888889,6.644625,-3.31597222222
Rect,10.0497222222,-4.48194444444,10.1330555556,-4.81527777778
Rect,10.0497222222,-4.98194444444,10.1330555556,-5.31527777778
Rect,10.0497222222,-5.73194444444,10.1330555556,-6.06527777778
Rect,9.63381944444,-3.65275,9.71715277778,-3.98608333333
Rect,8.30511111111,-3.65275,8.38844444444,-3.98608333333
Rect,9.63381944444,-5.90275,9.71715277778,-6.23608333333
Rect,8.30511111111,-5.90275,8.38844444444,-6.23608333333
Rect,8.05666666667,-6.06527777778,8.14,-6.39861111111
Rect,9.385375,-6.06527777778,9.46870833333,-6.39861111111
Rect,6.72795833333,-6.06527777778,6.81129166667,-6.39861111111
Rect,7.47409722222,-3.06647222222,7.55743055556,-3.39980555556
Rect,9.46715277778,-3.06647222222,9.55048611111,-3.39980555556
Rect,9.385375,-3.48194444444,9.46870833333,-3.81527777778
Rect,8.13844444444,-3.06647222222,8.22177777778,-3.39980555556
Rect,8.72101388889,-3.48194444444,8.80434722222,-3.81527777778
Rect,6.72795833333,-3.48194444444,6.81129166667,-3.81527777778
Rect,8.05666666667,-3.48194444444,8.14,-3.81527777778
Rect,7.47409722222,-4.98313888889,7.55743055556,-5.31647222222
Rect,9.96638888889,-2.64856944444,10.0497222222,-2.98190277778
Rect,7.89,-4.89930555556,7.97333333333,-5.23263888889
Rect,9.46715277778,-4.98313888889,9.55048611111,-5.31647222222
Rect,9.46715277778,-4.23313888889,9.55048611111,-4.56647222222
Rect,8.22177777778,-2.15201388889,8.30511111111,-2.48534722222
Rect,7.55743055556,-3.65201388889,7.64076388889,-3.98534722222
Rect,7.55743055556,-2.15201388889,7.64076388889,-2.48534722222
Rect,9.30204166667,-4.89856944444,9.385375,-5.23190277778
Rect,7.47409722222,-4.23313888889,7.55743055556,-4.56647222222
Rect,7.47409722222,-1.98313888889,7.55743055556,-2.31647222222
Rect,9.55048611111,-2.15201388889,9.63381944444,-2.48534722222
Rect,6.644625,-2.64856944444,6.72795833333,-2.98190277778
Rect,6.72795833333,-2.73194444444,6.81129166667,-3.06527777778
Rect,9.55048611111,-3.65201388889,9.63381944444,-3.98534722222
Rect,6.72795833333,-3.81527777778,6.81129166667,-4.14861111111
Rect,7.47409722222,-5.31647222222,7.55743055556,-5.64980555556
Rect,7.47409722222,-2.73313888889,7.55743055556,-3.06647222222
Rect,8.22177777778,-3.65201388889,8.30511111111,-3.98534722222
Rect,7.89,-4.14930555556,7.97333333333,-4.48263888889
Rect,8.22177777778,-4.40201388889,8.30511111111,-4.73534722222
Rect,7.80666666667,-4.31819444444,7.89,-4.65152777778
Rect,7.72409722222,-4.73604166667,7.80743055556,-5.069375
Rect,9.385375,-2.73194444444,9.46870833333,-3.06527777778
Rect,8.13844444444,-2.73313888889,8.22177777778,-3.06647222222
Rect,7.72409722222,-2.48604166667,7.80743055556,-2.819375
Rect,8.13844444444,-5.31647222222,8.22177777778,-5.64980555556
Rect,9.30204166667,-2.64856944444,9.385375,-2.98190277778
Rect,8.05666666667,-2.73194444444,8.14,-3.06527777778
Rect,9.135375,-2.06819444444,9.21870833333,-2.40152777778
Rect,7.80666666667,-2.06819444444,7.89,-2.40152777778
Rect,8.05666666667,-3.81527777778,8.14,-4.14861111111
Rect,8.13844444444,-1.98313888889,8.22177777778,-2.31647222222
Rect,7.55743055556,-4.40201388889,7.64076388889,-4.73534722222
Rect,9.135375,-4.31819444444,9.21870833333,-4.65152777778
Rect,9.46715277778,-5.31647222222,9.55048611111,-5.64980555556
Rect,9.46715277778,-1.98313888889,9.55048611111,-2.31647222222
Rect,9.46715277778,-2.73313888889,9.55048611111,-3.06647222222
Rect,9.96638888889,-4.89856944444,10.0497222222,-5.23190277778
Rect,7.89,-2.64930555556,7.97333333333,-2.98263888889
Rect,6.47795833333,-4.31819444444,6.56129166667,-4.65152777778
